,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,airline,text,tweet_created,x,y
0,21,5.70264145116819e+17,positive,1.0,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2015-02-24 08:49:01 -0800,40.74804263,-73.99295302
1,28,5.70207886493782e+17,negative,1.0,Virgin America,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,2015-02-24 05:05:28 -0800,42.361016,-71.02000488
2,29,5.70124596180955e+17,neutral,0.615,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2015-02-23 23:34:30 -0800,33.94540417,-118.4062472
3,32,5.70088404156699e+17,negative,1.0,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2015-02-23 21:10:41 -0800,33.94209449,-118.40410103
4,34,5.70076792993612e+17,positive,1.0,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2015-02-23 20:24:33 -0800,33.2145038,-96.9321504
5,42,5.70016304284901e+17,neutral,1.0,Virgin America,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,2015-02-23 16:24:11 -0800,34.0219817,-118.38591198
6,62,5.69987622484849e+17,neutral,0.6858,Virgin America,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",2015-02-23 14:30:13 -0800,33.57963333,-117.73024772
7,69,5.69967019958731e+17,negative,1.0,Virgin America,@VirginAmerica everything was fine until you lost my bag,2015-02-23 13:08:21 -0800,40.6413712,-73.78311558
8,74,5.69942903683813e+17,positive,1.0,Virgin America,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2015-02-23 11:32:31 -0800,36.08457854,-115.13780136
13,108,5.69881548515709e+17,neutral,0.6593,Virgin America,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2015-02-23 07:28:43 -0800,37.79374402,-122.39327564
14,115,5.69847920192655e+17,negative,1.0,Virgin America,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2015-02-23 05:15:06 -0800,26.074379,-80.1416831
15,124,5.69675144353829e+17,positive,1.0,Virgin America,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,2015-02-22 17:48:33 -0800,33.9469039,-118.40716847
16,126,5.69666477265019e+17,negative,0.6703,Virgin America,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2015-02-22 17:14:06 -0800,51.04345575,-114.06071363
17,128,5.69649116487291e+17,neutral,1.0,Virgin America,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,2015-02-22 16:05:07 -0800,40.64662464,-73.77090177
18,147,5.69599867716133e+17,positive,1.0,Virgin America,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,2015-02-22 12:49:25 -0800,33.94652852,-118.40766257
19,189,5.69304436612444e+17,positive,0.6783,Virgin America,@VirginAmerica you will match my #AmericanAirlines status? Cool!,2015-02-21 17:15:29 -0800,38.9128188,-77.00798226
20,205,5.69253236093268e+17,positive,1.0,Virgin America,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,2015-02-21 13:52:02 -0800,32.84359605,-96.84910929
21,211,5.69244860286263e+17,negative,0.642,Virgin America,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,2015-02-21 13:18:45 -0800,32.8437698,-96.84928399
23,249,5.69083230361674e+17,negative,0.6706,Virgin America,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",2015-02-21 02:36:29 -0800,26.06726717,-80.14433663
25,264,5.68929979981034e+17,positive,1.0,Virgin America,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,2015-02-20 16:27:32 -0800,32.8454782,-96.8504585
27,285,5.688648156549e+17,neutral,1.0,Virgin America,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,2015-02-20 12:08:35 -0800,39.24087254,-94.63994975
31,303,5.68815689684816e+17,positive,1.0,Virgin America,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,2015-02-20 08:53:23 -0800,37.77465018,-122.44032176
32,337,5.68577243200377e+17,neutral,0.6559,Virgin America,"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",2015-02-19 17:05:53 -0800,33.94696831,-118.40747994
35,409,5.6815768069673e+17,negative,0.6702,Virgin America,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.,2015-02-18 13:18:41 -0800,40.63767372,-74.11075451
42,473,5.67807278964023e+17,neutral,1.0,Virgin America,@VirginAmerica you got cheese pLate Flights too.,2015-02-17 14:06:19 -0800,40.78986648,-73.10068286
44,475,5.67806884191945e+17,positive,1.0,Virgin America,@VirginAmerica Dad on Segway is the best part of this whole infographic!,2015-02-17 14:04:45 -0800,42.5696777,-71.42056878
45,499,5.67742148603171e+17,neutral,1.0,Virgin America,@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?,2015-02-17 09:47:31 -0800,37.80065252,-122.43857414
46,503,5.67726092518031e+17,neutral,1.0,Virgin America,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro,2015-02-17 08:43:42 -0800,36.08546367,-115.31814055
47,511,5.70304912468402e+17,negative,0.6667,United,@united you think you boarded flight AU1066 too early? I think so.,2015-02-24 11:31:01 -0800,19.43706642,-99.07927123
48,527,5.70294743684518e+17,positive,1.0,United,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,2015-02-24 10:50:37 -0800,39.8621249,-104.6740909
49,585,5.70267915154539e+17,negative,1.0,United,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,2015-02-24 09:04:00 -0800,52.59657643,-2.19877833
50,631,5.70236221575705e+17,neutral,0.6349,United,"@united I guess that's too much ask, huh?",2015-02-24 06:58:04 -0800,29.98386923,-95.33729612
51,632,5.7023613860395e+17,negative,0.6288,United,@united but it's hard to stay upset at someone when they at least TRY to show remorse.,2015-02-24 06:57:44 -0800,29.98340611,-95.33682231
52,633,5.702360142387e+17,negative,1.0,United,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",2015-02-24 06:57:14 -0800,29.98350019,-95.33675519
53,634,5.70235698608869e+17,negative,1.0,United,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,2015-02-24 06:55:59 -0800,29.98377529,-95.33756559
54,636,5.70235387009839e+17,negative,1.0,United,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine.",2015-02-24 06:54:45 -0800,29.98350283,-95.33678993
